date,time_of_day,crime_type,location,latitude,longitude,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury,weather,temperature,previous_activity
14.03.1995,16:45:43,Drug Offense,Koramangala,13.0293,77.6771,Other,37,Other,49,Blunt Object,Minor,Partly Cloudy,1,Embezzlement
17.03.1995,03:29:54,Robbery,Bellandur,12.9146,77.1049,Female,28,Other,54,Blunt Object,Fatal,Snow,15,Embezzlement
17.03.1995,07:53:29,Fraud,HSR Layout,12.9963,77.2098,Male,31,Male,43,Knife,Minor,Clear,0,Burglary
11.03.1995,05:17:56,Theft,Bellandur,12.3423,77.74,Other,18,Male,70,Gun,Fatal,Clear,26,Burglary
11.03.1995,09:35:30,Drug Offense,Jayanagar,12.8528,77.5376,Other,59,Male,34,Knife,Major,Clear,32,Theft
28.03.1995,21:27:59,Robbery,Electronic City,13.2701,77.5055,Female,56,Male,38,Blunt Object,None,Overcast,15,None
11.03.1995,19:11:21,Vandalism,Yelahanka,13.9173,77.7379,Female,28,Male,52,Blunt Object,Major,Partly Cloudy,22,Theft
19.04.1995,01:11:24,Burglary,Yelahanka,12.9528,77.7358,Female,54,Other,43,None,Minor,Partly Cloudy,22,Assault
08.04.1995,01:37:50,Assault,Marathahalli,13.1143,77.6672,Female,67,Female,31,Knife,Major,Snow,8,Drug Offense
23.04.1995,08:59:08,Assault,Electronic City,13.7586,77.5806,Male,37,Female,67,Knife,Minor,Clear,17,Forgery
10.04.1995,06:03:30,Forgery,JP Nagar,12.3538,77.8019,Female,62,Other,58,None,Major,Overcast,37,Embezzlement
09.04.1995,07:47:14,Theft,Whitefield,13.1772,77.1821,Other,41,Female,58,None,None,Rain,12,Burglary
08.04.1995,08:50:56,Assault,Electronic City,13.0427,77.7357,Other,34,Male,25,None,Fatal,Rain,24,Drug Offense
14.04.1995,04:46:02,Drug Offense,Electronic City,12.9963,77.6392,Female,65,Other,30,Knife,Minor,Snow,32,Embezzlement
12.04.1995,21:18:38,Fraud,Yelahanka,12.8195,77.4076,Male,26,Female,55,Blunt Object,None,Clear,8,Theft
09.04.1995,19:31:55,Robbery,JP Nagar,12.9832,77.5009,Female,69,Male,29,Blunt Object,None,Snow,24,Drug Offense
14.04.1995,07:51:24,Assault,Indiranagar,12.9285,77.5427,Female,51,Other,35,Knife,Major,Clear,9,Vandalism
15.04.1995,01:49:36,Theft,Marathahalli,12.8659,77.7764,Other,63,Male,42,Gun,Major,Overcast,22,Theft
08.04.1995,06:17:23,Fraud,Indiranagar,12.9324,77.6205,Other,62,Other,70,Knife,None,Clear,15,Assault
26.04.1995,01:08:08,Assault,Whitefield,13.0663,77.2412,Male,25,Male,46,None,None,Partly Cloudy,33,Burglary
16.04.1995,12:08:35,Robbery,Whitefield,12.8029,77.5397,Other,36,Female,20,Gun,Major,Rain,26,Embezzlement
11.04.1995,22:21:50,Fraud,HSR Layout,12.8452,77.6091,Male,70,Female,55,None,Fatal,Clear,20,Theft
07.04.1995,12:00:32,Fraud,Electronic City,13.1374,77.4338,Male,46,Female,56,Gun,Fatal,Rain,25,None
04.04.1995,04:05:36,Forgery,Electronic City,13.0,77.4102,Other,42,Other,24,Knife,None,Overcast,27,Fraud
14.05.1995,10:15:09,Forgery,Marathahalli,12.6159,77.7486,Male,68,Other,70,Knife,Fatal,Clear,24,Vandalism
15.05.1995,10:23:06,Embezzlement,JP Nagar,13.1532,77.7839,Male,26,Other,27,None,Fatal,Overcast,10,Robbery
15.05.1995,16:03:44,Forgery,HSR Layout,12.7595,77.6341,Female,63,Other,33,Knife,Major,Partly Cloudy,22,Assault
10.05.1995,19:56:03,Vandalism,Jayanagar,13.1391,77.5728,Other,38,Other,30,Blunt Object,None,Partly Cloudy,13,Embezzlement
28.05.1995,15:47:07,Burglary,JP Nagar,12.9548,77.6771,Female,40,Male,30,Gun,Major,Snow,39,Forgery
19.05.1995,02:36:41,Assault,Bellandur,13.0334,77.7251,Other,47,Other,19,Gun,Fatal,Rain,16,Vandalism
14.05.1995,03:53:53,Fraud,Jayanagar,12.9822,77.4687,Female,52,Other,65,Blunt Object,Fatal,Snow,26,None
09.05.1995,21:10:34,Fraud,Banashankari,13.8568,77.4394,Female,39,Male,46,Knife,Minor,Overcast,29,Drug Offense
15.05.1995,03:19:24,Embezzlement,Yelahanka,12.9826,77.6621,Other,35,Female,44,Gun,None,Overcast,39,Theft
23.05.1995,10:58:41,Fraud,Indiranagar,13.6917,77.5327,Other,49,Female,57,Gun,None,Rain,29,Drug Offense
05.05.1995,09:19:14,Fraud,JP Nagar,12.9252,77.6261,Male,37,Male,52,Gun,Major,Clear,8,None
25.05.1995,17:03:37,Vandalism,Jayanagar,12.9426,77.6637,Other,46,Male,22,Blunt Object,Fatal,Snow,27,Fraud
26.05.1995,00:29:49,Drug Offense,Kamakshipalya,12.9304,77.5856,Male,29,Other,22,Blunt Object,Minor,Rain,18,Burglary
24.05.1995,20:33:10,Assault,Banashankari,13.0814,77.7149,Female,67,Female,45,Blunt Object,Fatal,Overcast,14,Embezzlement
09.05.1995,20:14:45,Burglary,Kamakshipalya,12.893,77.5535,Other,32,Male,32,None,None,Snow,26,None
08.05.1995,03:01:54,Forgery,JP Nagar,12.8665,77.5286,Other,70,Female,67,Blunt Object,Minor,Clear,22,Burglary
11.05.1995,05:03:41,Embezzlement,Electronic City,12.9617,77.8023,Other,37,Female,47,Knife,Fatal,Partly Cloudy,30,Drug Offense
11.06.1995,03:45:55,Fraud,Bellandur,13.0539,77.5443,Other,21,Other,57,Gun,None,Clear,33,Drug Offense
13.06.1995,13:00:36,Forgery,JP Nagar,13.0806,77.4407,Other,20,Other,64,None,Major,Snow,9,Vandalism
01.06.1995,19:06:14,Assault,HSR Layout,13.2516,77.4253,Female,59,Other,54,Knife,Minor,Clear,3,Embezzlement
22.06.1995,04:53:18,Robbery,Marathahalli,12.8234,77.5111,Female,35,Male,61,Knife,Major,Rain,3,Embezzlement
13.06.1995,06:20:38,Drug Offense,Indiranagar,13.1463,77.454,Other,69,Female,19,Knife,Fatal,Overcast,11,Theft
03.06.1995,01:56:11,Drug Offense,Jayanagar,13.4906,77.4085,Male,52,Male,47,Knife,Minor,Snow,7,Drug Offense
13.06.1995,20:25:15,Embezzlement,Electronic City,12.9285,77.6902,Male,44,Male,28,None,Minor,Partly Cloudy,4,Burglary
04.06.1995,16:49:28,Embezzlement,Bellandur,12.8119,77.1793,Other,46,Male,43,Knife,Fatal,Partly Cloudy,40,Burglary
06.06.1995,21:33:30,Assault,Yelahanka,13.0578,77.9773,Female,38,Female,21,Gun,Minor,Partly Cloudy,34,Theft
05.06.1995,09:41:52,Burglary,Whitefield,12.9904,77.6352,Female,64,Male,26,Blunt Object,None,Overcast,13,Vandalism
08.06.1995,21:39:52,Embezzlement,HSR Layout,12.0209,77.5327,Female,63,Male,21,Gun,Minor,Partly Cloudy,13,Burglary
09.06.1995,18:22:49,Assault,HSR Layout,12.2408,77.6294,Female,38,Female,26,Gun,None,Snow,8,Forgery
01.06.1995,06:36:05,Burglary,Jayanagar,13.1585,77.4481,Male,43,Other,67,Gun,Minor,Snow,12,Vandalism
06.06.1995,05:27:50,Forgery,Kamakshipalya,12.9266,77.6397,Other,62,Other,25,Gun,None,Partly Cloudy,37,Embezzlement
14.06.1995,00:24:27,Theft,Marathahalli,13.1571,77.7042,Other,63,Other,53,None,None,Snow,27,Fraud
13.06.1995,11:10:15,Theft,Koramangala,13.0624,77.4715,Male,36,Female,63,Knife,Major,Rain,11,Robbery
09.06.1995,23:09:07,Theft,Banashankari,13.1957,77.6189,Female,66,Male,57,Gun,None,Clear,17,Vandalism
19.07.1995,05:31:17,Fraud,JP Nagar,12.5125,77.4768,Other,53,Male,39,Gun,None,Partly Cloudy,15,Assault
18.07.1995,15:05:28,Theft,Indiranagar,12.8912,77.4859,Male,55,Male,57,Knife,Minor,Rain,14,Burglary
26.07.1995,12:12:34,Drug Offense,JP Nagar,13.7206,77.6135,Female,33,Other,35,Gun,Minor,Snow,12,Theft
14.07.1995,22:44:21,Assault,Banashankari,13.1039,77.7727,Female,23,Female,61,Knife,Fatal,Rain,33,None
06.07.1995,13:32:16,Fraud,Yelahanka,12.0143,77.4209,Female,38,Other,68,None,None,Clear,9,Assault
02.07.1995,21:33:41,Fraud,Kamakshipalya,13.0017,77.4938,Other,54,Female,62,Gun,None,Overcast,9,Embezzlement
07.07.1995,08:47:50,Robbery,HSR Layout,13.068,77.5279,Female,49,Other,27,Knife,Fatal,Snow,16,Vandalism
03.07.1995,17:41:58,Vandalism,Jayanagar,12.9822,77.426,Male,63,Male,54,Knife,Major,Clear,22,Robbery
25.07.1995,03:23:25,Drug Offense,Banashankari,12.8326,77.4209,Female,40,Male,25,Gun,Fatal,Partly Cloudy,25,Drug Offense
16.07.1995,22:46:44,Forgery,Bellandur,13.1407,77.6328,Female,29,Other,59,Knife,Fatal,Rain,27,Embezzlement
19.07.1995,18:10:25,Burglary,Koramangala,13.1261,77.5674,Other,69,Other,52,None,Fatal,Clear,29,Theft
22.07.1995,18:02:22,Assault,Whitefield,12.9659,77.1808,Other,47,Other,47,Knife,Minor,Overcast,39,Assault
11.07.1995,20:41:43,Embezzlement,Whitefield,13.0991,77.9252,Female,31,Male,56,Gun,Minor,Snow,27,Burglary
09.07.1995,18:43:22,Forgery,Koramangala,12.8203,77.5285,Other,21,Female,48,Gun,None,Rain,8,Forgery
14.07.1995,03:25:36,Robbery,Marathahalli,13.9173,77.5021,Male,19,Male,25,Gun,Fatal,Partly Cloudy,20,Theft
08.07.1995,04:25:48,Burglary,Electronic City,13.0167,77.5384,Male,42,Other,56,None,Minor,Partly Cloudy,4,Forgery
06.07.1995,11:41:38,Drug Offense,Kamakshipalya,12.8045,77.8374,Other,22,Other,65,None,Fatal,Overcast,37,Fraud
22.08.1995,02:05:08,Robbery,Koramangala,12.8659,77.7606,Male,47,Male,52,Knife,Minor,Rain,1,Assault
13.08.1995,06:20:30,Burglary,Jayanagar,12.8401,77.8622,Other,70,Male,22,Blunt Object,Minor,Snow,27,Assault
08.08.1995,12:11:29,Assault,Electronic City,13.1098,77.6824,Other,49,Other,31,Blunt Object,Fatal,Rain,20,Embezzlement
22.08.1995,17:56:51,Vandalism,Kamakshipalya,13.1956,77.5479,Female,40,Male,22,Gun,Fatal,Clear,5,Robbery
01.08.1995,20:55:56,Theft,Banashankari,13.629,77.5397,Male,67,Female,69,Gun,Major,Clear,2,Robbery
25.08.1995,16:17:09,Burglary,Bellandur,13.1359,77.6518,Other,26,Female,38,None,Fatal,Clear,38,Assault
18.08.1995,19:29:10,Drug Offense,Bellandur,12.8369,77.6725,Male,68,Other,57,None,Major,Rain,35,Drug Offense
20.08.1995,04:45:30,Theft,JP Nagar,12.8267,77.9286,Other,61,Female,23,Blunt Object,Fatal,Clear,30,None
08.08.1995,08:04:56,Robbery,HSR Layout,12.8066,77.6127,Other,25,Male,54,Blunt Object,Major,Overcast,28,Fraud
25.08.1995,03:18:25,Forgery,Indiranagar,13.9587,77.4868,Male,48,Male,50,Blunt Object,None,Rain,32,Forgery
19.08.1995,05:53:31,Fraud,Indiranagar,13.1831,77.484,Male,46,Male,70,Gun,Fatal,Rain,32,Theft
10.08.1995,07:08:40,Assault,Banashankari,12.9522,77.7572,Female,42,Female,26,None,Fatal,Overcast,38,None
20.08.1995,20:47:53,Embezzlement,Banashankari,13.0418,77.7976,Female,27,Female,27,Blunt Object,Minor,Rain,36,Embezzlement
04.08.1995,23:25:32,Vandalism,Banashankari,12.8234,77.7455,Female,29,Female,37,Gun,Minor,Clear,25,Vandalism
13.08.1995,11:13:04,Forgery,Jayanagar,12.6544,77.6234,Female,43,Other,49,None,None,Overcast,27,None
15.08.1995,16:38:58,Theft,Electronic City,12.8457,77.561,Female,42,Other,28,None,Major,Overcast,33,Forgery
14.08.1995,21:20:08,Fraud,HSR Layout,12.8029,77.6105,Male,19,Male,27,Knife,None,Rain,3,Drug Offense
02.09.1995,20:17:18,Vandalism,Indiranagar,13.0214,77.6557,Female,28,Other,38,None,Minor,Overcast,20,Burglary
08.09.1995,21:07:19,Burglary,Yelahanka,12.5416,77.694,Female,32,Male,68,Gun,Fatal,Snow,0,Drug Offense
19.09.1995,22:10:25,Drug Offense,Marathahalli,12.2101,77.412,Other,31,Other,21,Knife,Major,Clear,35,Assault
24.09.1995,21:50:41,Vandalism,Jayanagar,12.8951,77.7201,Male,43,Other,46,Blunt Object,Major,Overcast,31,Vandalism
17.09.1995,20:24:51,Assault,Banashankari,13.5346,77.6198,Female,30,Other,19,Blunt Object,Minor,Overcast,9,Burglary
25.09.1995,22:43:14,Drug Offense,Bellandur,12.2237,77.634,Female,40,Other,23,Blunt Object,Fatal,Overcast,33,Theft
11.09.1995,08:21:24,Fraud,Koramangala,13.1075,77.2541,Male,56,Female,33,Gun,Minor,Clear,24,Drug Offense
20.09.1995,22:50:35,Burglary,Banashankari,12.8452,77.5797,Male,47,Female,49,Blunt Object,Minor,Snow,36,Vandalism
20.09.1995,01:36:49,Burglary,Yelahanka,13.1167,77.4586,Male,20,Other,58,None,Minor,Partly Cloudy,30,None
26.09.1995,13:05:13,Burglary,Jayanagar,13.027,77.5307,Female,49,Male,57,Knife,Fatal,Snow,17,Drug Offense
17.09.1995,22:56:37,Vandalism,Whitefield,12.8933,77.5797,Male,23,Male,60,Gun,Fatal,Partly Cloudy,15,Embezzlement
28.09.1995,16:15:00,Robbery,Bellandur,12.9136,77.5522,Other,23,Other,40,Knife,Minor,Rain,2,Burglary
11.09.1995,23:14:23,Theft,Electronic City,12.1689,77.5389,Female,31,Female,23,None,Minor,Rain,34,Assault
13.09.1995,19:57:32,Theft,Yelahanka,13.1113,77.9341,Male,18,Female,19,Blunt Object,Minor,Rain,15,None
01.09.1995,23:28:02,Burglary,Bellandur,13.0265,77.5338,Other,31,Male,37,None,None,Overcast,18,Drug Offense
02.09.1995,04:54:51,Assault,JP Nagar,12.9299,77.454,Female,64,Female,39,Gun,None,Rain,14,Fraud
22.09.1995,23:22:34,Drug Offense,Koramangala,12.9366,77.4778,Male,45,Male,43,Gun,Major,Partly Cloudy,40,Theft
08.10.1995,18:10:35,Forgery,Koramangala,13.0,77.7009,Female,55,Female,22,Blunt Object,None,Overcast,3,None
03.10.1995,01:26:11,Robbery,Bellandur,12.5726,77.6205,Male,40,Male,70,Gun,Major,Rain,18,Assault
15.10.1995,09:56:21,Robbery,Banashankari,13.0761,77.2151,Female,52,Male,52,Blunt Object,None,Snow,21,Robbery
24.10.1995,13:32:37,Fraud,Koramangala,12.9138,77.3741,Female,38,Female,19,Knife,Major,Overcast,29,Theft
21.10.1995,20:27:47,Vandalism,Kamakshipalya,13.1428,77.3793,Female,43,Female,20,Knife,Fatal,Rain,31,Theft
10.10.1995,12:30:12,Vandalism,Marathahalli,13.1882,77.6381,Other,59,Other,20,Knife,None,Snow,4,Burglary
25.10.1995,11:37:23,Theft,Bellandur,13.0972,77.574,Male,19,Female,42,None,None,Rain,34,None
03.10.1995,05:12:45,Theft,Indiranagar,13.1407,77.6739,Female,67,Male,58,Blunt Object,Major,Snow,9,Forgery
14.10.1995,20:00:28,Embezzlement,Koramangala,13.0066,77.6509,Female,21,Other,41,None,Minor,Partly Cloudy,31,Drug Offense
22.10.1995,06:15:32,Drug Offense,Jayanagar,13.1732,77.561,Other,42,Male,44,Gun,Minor,Rain,23,Burglary
23.10.1995,06:27:32,Fraud,Banashankari,12.8166,77.4377,Other,60,Other,46,Blunt Object,None,Snow,0,Robbery
02.10.1995,15:43:34,Embezzlement,Yelahanka,13.0035,77.5968,Female,33,Male,56,Blunt Object,Fatal,Snow,36,None
11.10.1995,23:19:57,Drug Offense,Koramangala,12.9098,77.7975,Male,24,Male,34,Gun,Minor,Overcast,4,Forgery
25.10.1995,20:46:21,Assault,Kamakshipalya,13.1465,77.4998,Other,39,Male,52,Gun,Major,Clear,23,Forgery
13.10.1995,13:50:05,Burglary,HSR Layout,13.0224,77.5357,Other,70,Female,19,None,Major,Overcast,9,Vandalism
04.10.1995,19:11:40,Burglary,Koramangala,12.9317,77.7879,Female,49,Other,29,None,Minor,Clear,17,Vandalism
24.10.1995,04:03:07,Theft,Whitefield,13.0785,77.4492,Male,63,Female,46,Knife,None,Rain,25,Vandalism
18.11.1995,17:27:07,Embezzlement,Bellandur,12.2605,77.4376,Female,48,Female,45,Knife,None,Rain,19,Burglary
14.11.1995,20:27:37,Theft,Kamakshipalya,13.1374,77.5285,Female,20,Male,29,Knife,None,Rain,37,Assault
19.11.1995,00:08:05,Fraud,Indiranagar,12.8854,77.4698,Male,32,Female,37,Gun,Fatal,Partly Cloudy,5,Embezzlement
08.11.1995,08:24:37,Vandalism,HSR Layout,12.9567,77.6841,Male,20,Male,64,None,Major,Overcast,25,Embezzlement
20.11.1995,01:12:53,Robbery,Yelahanka,13.1749,77.6954,Other,43,Female,42,Gun,None,Overcast,9,Robbery
23.11.1995,04:55:37,Burglary,Banashankari,12.0677,77.7546,Other,35,Male,32,None,Fatal,Clear,10,Fraud
19.11.1995,05:28:16,Drug Offense,HSR Layout,13.5479,77.6665,Male,50,Male,26,None,Major,Clear,30,Embezzlement
04.11.1995,19:03:01,Theft,Indiranagar,13.1304,77.426,Other,29,Other,20,None,Major,Snow,7,Drug Offense
01.11.1995,12:30:07,Robbery,JP Nagar,12.2285,77.6976,Male,31,Other,70,Blunt Object,Major,Partly Cloudy,15,Theft
18.11.1995,13:00:53,Vandalism,JP Nagar,12.8531,77.6621,Female,53,Female,57,Knife,Major,Snow,27,Burglary
28.11.1995,03:59:15,Vandalism,Bellandur,12.8145,77.6091,Other,30,Male,28,Knife,Major,Partly Cloudy,12,Drug Offense
13.11.1995,21:24:31,Embezzlement,Whitefield,13.1525,77.7541,Female,30,Male,26,Blunt Object,Fatal,Overcast,39,Assault
19.11.1995,20:57:47,Drug Offense,Jayanagar,12.5491,77.7606,Other,48,Male,51,None,Minor,Clear,27,Robbery
28.11.1995,08:28:28,Vandalism,Yelahanka,12.8457,77.4019,Male,41,Female,35,Blunt Object,Major,Snow,37,Embezzlement
20.11.1995,08:17:24,Drug Offense,JP Nagar,12.9426,77.5728,Male,33,Female,61,Blunt Object,Fatal,Snow,2,Vandalism
07.11.1995,22:16:26,Embezzlement,Bellandur,12.8212,77.8049,Other,67,Female,59,Blunt Object,Major,Clear,28,Robbery
07.11.1995,13:10:48,Fraud,Yelahanka,13.1738,77.8049,Female,53,Other,26,Gun,Fatal,Snow,22,Embezzlement
15.12.1995,11:15:59,Vandalism,Indiranagar,13.0475,77.4353,Other,54,Female,55,None,Minor,Snow,25,Embezzlement
15.12.1995,21:41:16,Burglary,Marathahalli,13.071,77.4136,Female,30,Male,28,Blunt Object,None,Partly Cloudy,7,Drug Offense
16.12.1995,00:35:03,Embezzlement,Koramangala,13.0895,77.7132,Female,36,Other,34,Gun,Fatal,Rain,37,Theft
15.12.1995,11:43:25,Fraud,JP Nagar,12.9361,77.4698,Other,65,Other,65,Knife,None,Partly Cloudy,22,None
17.12.1995,10:02:14,Vandalism,Banashankari,12.8297,77.4497,Male,24,Female,62,Knife,None,Rain,18,None
26.12.1995,07:44:59,Vandalism,JP Nagar,13.1957,77.4921,Male,33,Male,66,None,Minor,Rain,30,Embezzlement
24.12.1995,19:55:01,Fraud,JP Nagar,12.9029,77.4704,Other,70,Male,70,Knife,Fatal,Overcast,39,Forgery
24.12.1995,12:21:08,Robbery,Indiranagar,13.1195,77.5686,Male,31,Male,48,Blunt Object,Major,Overcast,19,Theft
07.12.1995,07:35:37,Robbery,Kamakshipalya,13.7776,77.4232,Male,44,Male,33,Blunt Object,Minor,Overcast,39,Forgery
18.12.1995,11:01:00,Drug Offense,Electronic City,13.1986,77.3785,Female,61,Other,41,None,None,Clear,26,Drug Offense
16.12.1995,13:06:14,Robbery,JP Nagar,12.8668,77.6954,Female,41,Female,44,Blunt Object,Major,Rain,40,Embezzlement
06.12.1995,23:24:48,Embezzlement,Koramangala,12.8765,77.3376,Female,31,Female,57,Gun,Fatal,Partly Cloudy,16,Robbery
26.12.1995,18:31:50,Theft,Jayanagar,12.8308,77.6668,Female,68,Other,37,Blunt Object,Major,Partly Cloudy,6,Fraud
27.12.1995,20:11:24,Fraud,Jayanagar,13.0261,77.574,Male,66,Male,58,Gun,Major,Overcast,1,Embezzlement
10.12.1995,02:14:47,Drug Offense,Indiranagar,12.9963,77.7794,Other,59,Other,28,None,None,Clear,10,Vandalism
05.12.1995,13:45:21,Assault,Koramangala,13.0089,77.5168,Male,54,Female,58,Blunt Object,Minor,Snow,37,Drug Offense
05.12.1995,21:24:33,Burglary,Yelahanka,12.8444,77.6341,Male,30,Female,44,Blunt Object,None,Partly Cloudy,26,Forgery
28.01.1996,02:48:36,Vandalism,Kamakshipalya,13.1692,77.4594,Other,64,Male,29,Knife,Minor,Overcast,35,Assault
07.01.1996,13:21:34,Forgery,Indiranagar,12.0677,77.0662,Other,38,Other,69,Blunt Object,None,Rain,27,Fraud
21.01.1996,00:24:14,Drug Offense,Bellandur,12.8996,77.4085,Female,41,Male,70,Gun,Major,Overcast,3,Assault
11.01.1996,17:59:20,Embezzlement,Jayanagar,13.058,77.645,Male,46,Male,37,Knife,Major,Overcast,35,Robbery
16.01.1996,08:23:05,Embezzlement,Indiranagar,13.0559,77.4715,Male,57,Other,65,None,None,Rain,9,Robbery
11.01.1996,17:53:01,Drug Offense,Banashankari,13.0471,77.7566,Female,47,Male,62,Gun,Minor,Overcast,7,Vandalism
21.01.1996,05:42:20,Fraud,Whitefield,12.9583,77.44,Male,52,Female,25,Gun,Minor,Rain,15,Fraud
08.01.1996,13:04:22,Vandalism,Marathahalli,12.809,77.2151,Other,38,Female,68,Blunt Object,Minor,Overcast,39,Robbery
03.01.1996,05:58:05,Drug Offense,JP Nagar,12.79,77.4502,Male,65,Other,34,Gun,Minor,Clear,37,Assault
