crime_type,location,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury
Assault,Malleswaram,Female,18,Male,60,Gun,Fatal
Embezzlement,Electronic City,Other,32,Female,62,None,None
Embezzlement,Malleswaram,Male,35,Male,49,None,Fatal
Vandalism,Hebbal,Other,24,Female,40,None,Fatal
Fraud,Hebbal,Male,20,Male,54,None,Minor
Kidnapping,Whitefield,Male,38,Male,37,None,None
Arson,Kamakshipalya,Female,59,Other,55,Fire,None
Embezzlement,Whitefield,Female,36,Female,63,None,Minor
Burglary,Hebbal,Other,67,Other,21,Gun,Fatal
Kidnapping,Malleswaram,Female,26,Female,68,None,Fatal
Embezzlement,Banashankari,Other,25,Female,20,None,Fatal
Fraud,Hebbal,Other,67,Male,31,None,Fatal
Burglary,Hebbal,Male,29,Female,54,Gun,Minor
Arson,Jayanagar,Female,48,Male,38,Fire,Fatal
Fraud,Koramangala,Female,68,Other,54,None,Minor
Burglary,Electronic City,Other,68,Female,46,Gun,None
Vandalism,Yelahanka,Male,38,Male,25,Blunt Object,Fatal
Robbery,Electronic City,Other,32,Male,49,Gun,Minor
Burglary,Banashankari,Other,66,Other,60,Knife,None
Assault,Kamakshipalya,Male,51,Male,48,Knife,None
Fraud,Hebbal,Female,19,Other,47,None,None
Kidnapping,Banashankari,Male,55,Male,33,Knife,None
Vandalism,Indiranagar,Female,25,Other,65,None,Fatal
Embezzlement,Kamakshipalya,Female,46,Other,30,None,Fatal
Assault,Koramangala,Other,40,Male,20,Gun,None
Burglary,Hebbal,Female,50,Female,18,None,Minor
Homicide,Kamakshipalya,Other,26,Male,48,Knife,None
Assault,Kamakshipalya,Male,61,Male,63,Gun,Fatal
Fraud,Koramangala,Male,51,Male,45,None,Fatal
Robbery,Indiranagar,Other,45,Female,37,Gun,Minor
Kidnapping,Malleswaram,Male,40,Female,59,None,Fatal
Homicide,Malleswaram,Male,51,Other,24,Gun,Minor
Robbery,Indiranagar,Male,55,Other,48,Blunt Object,None
Theft,Malleswaram,Other,26,Male,39,None,None
Fraud,Jayanagar,Other,30,Other,55,None,None
Burglary,Hebbal,Female,26,Other,28,Knife,Fatal
Assault,Indiranagar,Other,69,Other,55,Knife,Minor
Burglary,Koramangala,Other,66,Male,23,None,Minor
Embezzlement,Jayanagar,Male,20,Other,64,None,None
Vandalism,Indiranagar,Female,58,Female,66,Spray Paint,None
Burglary,Koramangala,Male,59,Male,38,Gun,None
Fraud,Banashankari,Male,51,Female,43,None,Fatal
Arson,Kamakshipalya,Other,69,Female,53,None,Minor
Kidnapping,Malleswaram,Female,36,Male,23,Knife,Fatal
Arson,Yelahanka,Female,32,Other,42,Fire,Fatal
Burglary,Banashankari,Other,57,Female,54,Gun,Minor
Fraud,Jayanagar,Male,39,Male,42,None,None
Burglary,Koramangala,Male,41,Female,46,Knife,Fatal
Robbery,Yelahanka,Male,32,Other,69,Gun,Fatal
Embezzlement,Hebbal,Male,23,Other,40,None,Minor
Robbery,Yelahanka,Female,63,Male,37,Knife,Fatal
Homicide,Malleswaram,Male,69,Female,53,Gun,Fatal
Assault,Malleswaram,Male,25,Female,57,Fists,Fatal
Embezzlement,Jayanagar,Other,26,Other,34,None,Fatal
Arson,Koramangala,Female,54,Other,27,Fire,Minor
Vandalism,Indiranagar,Other,57,Female,65,Spray Paint,Fatal
Kidnapping,Koramangala,Female,32,Male,64,Knife,Fatal
Embezzlement,Whitefield,Female,24,Female,52,None,Fatal
Robbery,Whitefield,Male,39,Female,34,Blunt Object,None
Arson,Hebbal,Female,61,Other,57,None,Minor
Vandalism,Electronic City,Male,42,Other,54,Spray Paint,None
Robbery,Malleswaram,Other,20,Male,65,Knife,Minor
Homicide,Kamakshipalya,Female,31,Female,32,Blunt Object,Minor
Theft,Yelahanka,Male,25,Other,45,None,Fatal
Assault,Yelahanka,Female,53,Male,20,Gun,Minor
Theft,Banashankari,Female,52,Male,51,None,Minor
Theft,Koramangala,Female,45,Other,62,Knife,None
Assault,Banashankari,Male,63,Other,22,Fists,Minor
Embezzlement,Yelahanka,Male,61,Female,31,None,Minor
Homicide,Whitefield,Male,54,Other,43,Knife,None
Theft,Malleswaram,Female,31,Female,54,None,None
Arson,Indiranagar,Female,25,Female,29,Fire,Fatal
Robbery,Kamakshipalya,Male,68,Female,57,Knife,Fatal
Embezzlement,Indiranagar,Female,29,Male,22,None,Minor
Vandalism,Whitefield,Female,58,Female,54,None,Fatal
Vandalism,Malleswaram,Male,34,Male,42,Blunt Object,Fatal
Embezzlement,Yelahanka,Male,29,Male,29,None,Fatal
Kidnapping,Electronic City,Male,55,Male,70,Knife,Fatal
Homicide,Jayanagar,Female,35,Male,19,Blunt Object,Minor
Assault,Koramangala,Other,31,Female,25,Fists,None
Vandalism,Jayanagar,Male,46,Female,58,None,Fatal
Vandalism,Yelahanka,Other,64,Male,47,Blunt Object,None
Burglary,Whitefield,Male,49,Other,41,None,None
Theft,Jayanagar,Male,28,Female,26,Gun,Minor
Burglary,Hebbal,Other,58,Other,35,None,None
Embezzlement,Koramangala,Female,33,Other,40,None,Minor
Assault,Yelahanka,Male,39,Female,28,Fists,Minor
Arson,Indiranagar,Male,28,Male,30,None,Minor
Vandalism,Koramangala,Other,18,Female,63,None,None
Fraud,Malleswaram,Female,32,Female,54,None,Minor
Burglary,Whitefield,Male,33,Female,56,Knife,Minor
Arson,Yelahanka,Other,55,Other,48,Fire,Fatal
Vandalism,Banashankari,Other,46,Female,60,Spray Paint,Minor
Kidnapping,Yelahanka,Female,56,Other,59,Knife,Minor
Kidnapping,Yelahanka,Other,49,Female,18,Knife,None
Homicide,Kamakshipalya,Female,57,Other,60,Blunt Object,Fatal
Burglary,Yelahanka,Male,58,Other,56,None,Minor
Embezzlement,Kamakshipalya,Other,34,Female,36,None,Minor
Robbery,Hebbal,Male,29,Male,18,Gun,None
Homicide,Banashankari,Female,28,Female,52,Blunt Object,Minor
Fraud,Whitefield,Female,50,Male,32,None,None
Kidnapping,Electronic City,Female,33,Male,31,Knife,None
Arson,Yelahanka,Male,32,Other,44,Fire,None
Burglary,Electronic City,Male,20,Male,28,Gun,Minor
Kidnapping,Banashankari,Other,28,Female,64,Gun,Fatal
Arson,Kamakshipalya,Other,37,Male,32,Fire,None
Kidnapping,Banashankari,Male,41,Female,42,Knife,Fatal
Homicide,Whitefield,Other,53,Female,38,Blunt Object,Minor
Embezzlement,Banashankari,Other,64,Female,33,None,None
Vandalism,Hebbal,Female,27,Other,64,Blunt Object,Fatal
Embezzlement,Electronic City,Other,32,Other,51,None,None
Robbery,Malleswaram,Other,21,Other,25,Blunt Object,Minor
Vandalism,Yelahanka,Female,62,Male,27,None,Minor
Theft,Jayanagar,Male,30,Male,50,Knife,Minor
Robbery,Jayanagar,Other,42,Other,70,Gun,Minor
Theft,Whitefield,Other,29,Other,19,Knife,Fatal
Kidnapping,Hebbal,Other,68,Other,59,Gun,Minor
Theft,Malleswaram,Other,38,Other,32,Knife,Fatal
Theft,Hebbal,Male,21,Male,43,Knife,None
Vandalism,Indiranagar,Other,61,Female,39,Blunt Object,Fatal
Robbery,Kamakshipalya,Female,29,Female,56,Gun,None
Kidnapping,Kamakshipalya,Other,59,Female,37,Knife,None
Embezzlement,Electronic City,Male,22,Male,42,None,Minor
Vandalism,Banashankari,Female,33,Male,34,None,None
Arson,Whitefield,Male,22,Male,53,Fire,Fatal
Homicide,Electronic City,Female,63,Male,67,Blunt Object,Minor
Fraud,Koramangala,Other,23,Other,53,None,Minor
Arson,Yelahanka,Other,41,Other,40,Fire,Fatal
Homicide,Jayanagar,Male,54,Other,62,Blunt Object,Minor
Vandalism,Whitefield,Other,63,Female,46,Spray Paint,Fatal
Kidnapping,Whitefield,Female,61,Other,36,Knife,Fatal
Arson,Whitefield,Other,45,Other,58,Fire,Minor
Embezzlement,Indiranagar,Male,66,Other,37,None,Fatal
Theft,Koramangala,Other,32,Female,26,Gun,Minor
Fraud,Electronic City,Male,48,Female,54,None,Minor
Embezzlement,Kamakshipalya,Male,60,Male,70,None,Fatal
Theft,Hebbal,Female,61,Female,19,Knife,None
Theft,Malleswaram,Female,59,Male,28,None,Fatal
Burglary,Banashankari,Female,23,Other,55,Knife,Minor
Kidnapping,Electronic City,Female,63,Female,58,None,Fatal
Robbery,Koramangala,Male,45,Other,59,Gun,None
Theft,Kamakshipalya,Other,66,Male,21,Gun,None
Kidnapping,Malleswaram,Male,41,Female,57,None,Minor
Assault,Banashankari,Female,21,Male,44,Gun,None
Embezzlement,Koramangala,Male,59,Male,26,None,Fatal
Vandalism,Malleswaram,Other,18,Other,51,Spray Paint,Minor
Vandalism,Koramangala,Female,62,Male,32,Spray Paint,Minor
Theft,Whitefield,Female,33,Other,39,None,Minor
Fraud,Banashankari,Other,38,Male,20,None,Minor
Fraud,Hebbal,Male,61,Male,33,None,Minor
Kidnapping,Banashankari,Male,61,Female,34,None,Fatal
Robbery,Indiranagar,Male,55,Male,55,Blunt Object,Fatal
Theft,Kamakshipalya,Male,30,Male,32,None,Minor
Burglary,Hebbal,Female,20,Other,23,Knife,Minor
Homicide,Electronic City,Female,64,Female,54,Knife,None
Robbery,Koramangala,Other,35,Other,48,Blunt Object,Fatal
Assault,Jayanagar,Female,28,Other,63,Knife,Minor
Assault,Whitefield,Female,41,Other,55,Knife,Minor
Fraud,Electronic City,Male,34,Female,44,None,None
Theft,Electronic City,Other,39,Female,34,None,None
Homicide,Malleswaram,Female,46,Other,65,Knife,Minor
Kidnapping,Yelahanka,Male,59,Other,21,Knife,Minor
Vandalism,Electronic City,Other,66,Other,70,None,Fatal
Assault,Malleswaram,Female,64,Male,29,Gun,Fatal
Fraud,Hebbal,Female,42,Female,46,None,Minor
Theft,Banashankari,Male,28,Female,44,Gun,Minor
Embezzlement,Koramangala,Other,33,Female,45,None,Minor
Kidnapping,Kamakshipalya,Male,42,Other,69,Gun,Fatal
Theft,Indiranagar,Other,70,Other,47,Knife,Fatal
Vandalism,Banashankari,Other,64,Male,63,None,Minor
Homicide,Malleswaram,Other,51,Other,33,Blunt Object,Fatal
Arson,Jayanagar,Male,57,Male,62,Fire,None
Robbery,Whitefield,Male,53,Male,35,Gun,None
Assault,Electronic City,Male,67,Female,38,Gun,Minor
Arson,Jayanagar,Other,47,Other,41,Fire,Minor
Burglary,Banashankari,Female,62,Other,30,Gun,Fatal
Fraud,Electronic City,Female,29,Other,29,None,Minor
Arson,Koramangala,Female,52,Male,29,Fire,Fatal
Arson,Jayanagar,Female,69,Female,22,Fire,Minor
Robbery,Hebbal,Male,50,Female,19,Knife,Minor
Arson,Electronic City,Male,37,Male,18,Fire,None
Burglary,Whitefield,Other,26,Other,67,None,Fatal
Assault,Electronic City,Male,67,Male,46,Knife,None
Assault,Banashankari,Other,47,Female,50,Knife,Fatal
Kidnapping,Hebbal,Other,63,Male,62,None,Fatal
Theft,Koramangala,Female,62,Male,43,Gun,Minor
Arson,Kamakshipalya,Female,44,Male,41,None,Fatal
Fraud,Jayanagar,Male,19,Male,38,None,Fatal
Homicide,Banashankari,Other,50,Other,32,Blunt Object,Minor
Robbery,Banashankari,Female,38,Female,31,Knife,Minor
Burglary,Hebbal,Male,48,Other,24,Gun,Minor
Robbery,Whitefield,Female,25,Male,38,Gun,Fatal
Kidnapping,Banashankari,Male,67,Male,23,Knife,Fatal
Robbery,Whitefield,Male,60,Male,46,Blunt Object,Fatal
Robbery,Electronic City,Male,57,Other,60,Blunt Object,Fatal
Arson,Kamakshipalya,Other,58,Female,58,Fire,Fatal
Burglary,Electronic City,Male,42,Female,66,None,Fatal
Robbery,Malleswaram,Female,45,Male,50,Gun,Fatal
Robbery,Electronic City,Female,54,Male,27,Knife,None
Assault,Yelahanka,Female,46,Other,47,Knife,Minor
Homicide,Hebbal,Female,55,Other,56,Knife,Fatal
Embezzlement,Kamakshipalya,Female,70,Male,62,None,Fatal
Theft,Malleswaram,Other,49,Other,18,Gun,Fatal
Homicide,Whitefield,Male,24,Female,38,Blunt Object,None
Theft,Whitefield,Male,52,Female,61,None,Minor
Arson,Hebbal,Other,57,Other,38,Fire,Fatal
Homicide,Whitefield,Other,54,Female,40,Gun,None
Robbery,Jayanagar,Male,18,Male,68,Gun,Minor
Arson,Banashankari,Male,36,Male,24,Fire,Minor
Fraud,Whitefield,Female,57,Female,39,None,Minor
Burglary,Koramangala,Male,25,Female,70,Gun,Minor
Assault,Kamakshipalya,Male,34,Male,69,Knife,None
Burglary,Hebbal,Female,37,Other,31,None,Fatal
Assault,Electronic City,Male,29,Male,18,Knife,None
Robbery,Yelahanka,Other,26,Female,38,Blunt Object,Fatal
Robbery,Electronic City,Male,29,Other,41,Gun,None
Vandalism,Indiranagar,Other,52,Male,62,Spray Paint,Minor
Burglary,Koramangala,Male,48,Male,37,Knife,None
Theft,Kamakshipalya,Other,20,Male,19,Knife,None
Burglary,Electronic City,Female,33,Other,67,Knife,None
Kidnapping,Whitefield,Other,49,Male,36,Gun,None
Kidnapping,Yelahanka,Male,32,Other,50,Gun,None
Arson,Jayanagar,Other,30,Female,56,Fire,None
Assault,Jayanagar,Female,46,Male,52,Knife,Fatal
Embezzlement,Banashankari,Male,58,Male,50,None,None
Burglary,Yelahanka,Male,53,Female,48,Gun,Minor
Fraud,Malleswaram,Female,31,Female,69,None,Minor
Kidnapping,Electronic City,Male,26,Other,38,None,Minor
Theft,Indiranagar,Other,53,Male,39,None,None
Arson,Indiranagar,Female,60,Female,58,None,None
Fraud,Jayanagar,Female,63,Male,59,None,Minor
Kidnapping,Banashankari,Female,70,Male,44,Gun,Minor
Burglary,Malleswaram,Other,56,Female,27,Knife,None
Embezzlement,Hebbal,Other,67,Female,62,None,Fatal
Vandalism,Banashankari,Male,57,Female,67,Spray Paint,Fatal
Assault,Koramangala,Female,58,Female,23,Gun,None
Vandalism,Electronic City,Male,33,Male,27,Blunt Object,Minor
Kidnapping,Indiranagar,Female,45,Female,26,None,Fatal
Robbery,Electronic City,Male,57,Female,44,Blunt Object,None
Arson,Koramangala,Female,38,Female,69,Fire,None
Homicide,Indiranagar,Female,29,Other,26,Blunt Object,Fatal
Kidnapping,Malleswaram,Other,22,Other,66,None,None
Embezzlement,Banashankari,Female,53,Male,32,None,None
Arson,Electronic City,Female,29,Female,40,Fire,Minor
Kidnapping,Malleswaram,Female,62,Male,45,None,Fatal
Robbery,Indiranagar,Female,35,Female,68,Blunt Object,None
Vandalism,Electronic City,Female,53,Female,25,Blunt Object,None
Fraud,Yelahanka,Female,22,Male,54,None,Minor
Kidnapping,Hebbal,Female,29,Female,18,Knife,Fatal
Vandalism,Koramangala,Male,36,Male,27,Blunt Object,Minor
Assault,Banashankari,Other,32,Other,49,Fists,None
Assault,Yelahanka,Male,53,Other,34,Knife,Minor
Homicide,Malleswaram,Other,49,Other,22,Knife,None
Embezzlement,Koramangala,Other,52,Male,70,None,Minor
Embezzlement,Yelahanka,Female,36,Other,25,None,Fatal
Kidnapping,Banashankari,Male,29,Other,48,Knife,Fatal
Theft,Koramangala,Other,42,Other,62,Knife,Fatal
Kidnapping,Malleswaram,Female,49,Male,27,Knife,None
Embezzlement,Yelahanka,Other,47,Other,23,None,Minor
Embezzlement,Kamakshipalya,Female,64,Other,47,None,None
Assault,Jayanagar,Other,62,Other,61,Gun,Minor
Robbery,Yelahanka,Female,29,Other,55,Blunt Object,None
Robbery,Malleswaram,Female,61,Other,40,Gun,None
Burglary,Banashankari,Female,65,Female,29,None,Fatal
Vandalism,Indiranagar,Other,64,Other,25,None,Minor
Robbery,Whitefield,Female,58,Male,50,Blunt Object,Minor
Assault,Indiranagar,Other,31,Other,68,Knife,None
Theft,Electronic City,Male,64,Other,68,Knife,None
Assault,Whitefield,Female,35,Male,58,Gun,Minor
Fraud,Indiranagar,Male,63,Male,52,None,Fatal
Fraud,Malleswaram,Female,29,Female,39,None,None
Kidnapping,Jayanagar,Female,39,Other,30,Gun,Minor
Assault,Whitefield,Other,51,Other,32,Fists,Minor
Fraud,Indiranagar,Male,20,Other,31,None,Fatal
Burglary,Whitefield,Male,21,Other,51,Gun,None
Burglary,Kamakshipalya,Male,62,Female,62,None,Minor
Vandalism,Malleswaram,Male,63,Male,69,None,None
Robbery,Malleswaram,Other,69,Female,54,Knife,None
Burglary,Electronic City,Other,33,Male,42,Gun,Minor
Embezzlement,Indiranagar,Male,24,Male,40,None,None
Kidnapping,Electronic City,Male,47,Male,54,None,Fatal
Theft,Hebbal,Other,65,Female,61,None,Fatal
Burglary,Yelahanka,Female,43,Other,61,Gun,None
Burglary,Malleswaram,Male,69,Other,27,Gun,Fatal
Vandalism,Whitefield,Male,65,Female,49,Blunt Object,Fatal
Fraud,Jayanagar,Male,26,Female,31,None,Minor
Assault,Kamakshipalya,Other,32,Other,53,Fists,Fatal
Burglary,Yelahanka,Male,24,Other,31,Knife,Minor
Robbery,Malleswaram,Other,23,Other,67,Knife,Minor
Burglary,Indiranagar,Female,20,Male,51,Knife,Fatal
Robbery,Kamakshipalya,Male,51,Female,32,Blunt Object,None
Embezzlement,Banashankari,Female,38,Male,40,None,Fatal
Homicide,Jayanagar,Other,52,Male,48,Knife,None
Homicide,Electronic City,Other,48,Other,32,Knife,Minor
Homicide,Electronic City,Female,44,Female,50,Knife,None
Embezzlement,Hebbal,Other,44,Male,33,None,Fatal
Burglary,Jayanagar,Female,52,Other,22,None,Minor
Kidnapping,Electronic City,Male,46,Male,52,None,Minor
Theft,Yelahanka,Male,38,Male,46,Gun,Fatal
Assault,Jayanagar,Female,61,Other,36,Knife,Minor
Robbery,Kamakshipalya,Other,50,Other,56,Knife,None
Fraud,Hebbal,Male,19,Male,42,None,None
Assault,Malleswaram,Male,69,Other,30,Fists,Minor
Kidnapping,Banashankari,Female,46,Male,56,Knife,Minor
Embezzlement,Malleswaram,Female,38,Other,19,None,Minor
Theft,Koramangala,Other,55,Other,31,Gun,Minor
Arson,Indiranagar,Female,54,Female,32,Fire,Fatal
Kidnapping,Electronic City,Other,64,Male,35,Knife,None
Burglary,Whitefield,Other,62,Other,26,Knife,None
Arson,Banashankari,Other,64,Female,63,None,None
Embezzlement,Electronic City,Male,64,Female,52,None,None
Arson,Yelahanka,Other,46,Other,30,None,None
Theft,Malleswaram,Other,37,Male,55,Gun,Minor
Embezzlement,Whitefield,Other,23,Female,26,None,Fatal
Fraud,Banashankari,Male,56,Female,19,None,Fatal
Assault,Kamakshipalya,Male,59,Other,39,Gun,Minor
Burglary,Malleswaram,Other,19,Female,53,Knife,Fatal
Homicide,Yelahanka,Female,64,Male,50,Knife,None
Burglary,Electronic City,Female,42,Female,69,None,Fatal
Embezzlement,Whitefield,Other,69,Female,27,None,Minor
Theft,Electronic City,Female,49,Male,22,Gun,Fatal
Theft,Koramangala,Male,67,Male,51,None,Minor
Burglary,Kamakshipalya,Male,42,Other,24,Gun,Minor
Vandalism,Koramangala,Female,63,Male,18,None,Fatal
Vandalism,Indiranagar,Other,43,Male,57,Blunt Object,None
Kidnapping,Koramangala,Other,58,Male,24,Gun,None
Kidnapping,Electronic City,Other,43,Female,21,Gun,Fatal
Kidnapping,Banashankari,Female,30,Male,32,Knife,Minor
Embezzlement,Banashankari,Male,20,Female,23,None,Minor
Embezzlement,Whitefield,Male,69,Male,19,None,Fatal
Assault,Kamakshipalya,Other,44,Male,27,Gun,None
Kidnapping,Indiranagar,Female,19,Male,63,Gun,None
Theft,Kamakshipalya,Female,37,Male,68,None,None
Fraud,Kamakshipalya,Female,52,Male,40,None,Fatal
Theft,Jayanagar,Female,69,Female,31,Knife,None
Embezzlement,Malleswaram,Female,21,Female,35,None,None
Kidnapping,Electronic City,Female,29,Female,44,Knife,Fatal
Kidnapping,Jayanagar,Male,39,Female,54,Knife,Fatal
Fraud,Electronic City,Other,25,Male,21,None,None
Kidnapping,Electronic City,Male,68,Female,33,None,Fatal
Arson,Jayanagar,Other,36,Other,29,None,None
Kidnapping,Banashankari,Male,53,Other,50,Knife,Minor
Vandalism,Jayanagar,Male,66,Other,39,Spray Paint,Minor
Theft,Yelahanka,Male,61,Female,42,Gun,None
Kidnapping,Koramangala,Other,70,Male,60,Gun,None
Homicide,Whitefield,Other,66,Male,30,Blunt Object,Fatal
Theft,Indiranagar,Male,57,Male,52,None,Minor
Homicide,Yelahanka,Other,55,Other,50,Blunt Object,None
Homicide,Koramangala,Other,55,Female,55,Gun,Minor
Kidnapping,Jayanagar,Other,49,Male,48,Knife,None
Theft,Indiranagar,Female,28,Female,22,Knife,Minor
Theft,Electronic City,Male,47,Other,59,Knife,Minor
Assault,Malleswaram,Male,37,Male,38,Gun,Fatal
Embezzlement,Whitefield,Other,33,Male,18,None,Minor
Theft,Jayanagar,Other,20,Male,41,None,Fatal
Homicide,Banashankari,Male,20,Male,67,Gun,Minor
Embezzlement,Jayanagar,Female,26,Male,57,None,Minor
Kidnapping,Whitefield,Other,66,Other,48,Knife,Minor
Robbery,Electronic City,Other,24,Other,68,Knife,Fatal
Fraud,Banashankari,Male,29,Male,35,None,None
Fraud,Koramangala,Other,55,Female,51,None,Fatal
Robbery,Electronic City,Male,59,Female,33,Blunt Object,Fatal
Fraud,Indiranagar,Female,23,Female,24,None,None
Arson,Banashankari,Male,31,Male,46,None,Fatal
Arson,Hebbal,Other,70,Male,48,Fire,None
Kidnapping,Jayanagar,Male,66,Female,49,None,Minor
Arson,Electronic City,Male,24,Female,44,Fire,None
Embezzlement,Indiranagar,Other,53,Other,29,None,None
Vandalism,Banashankari,Female,23,Other,58,Spray Paint,Fatal
Embezzlement,Malleswaram,Male,24,Female,20,None,Fatal
Embezzlement,Indiranagar,Other,67,Other,48,None,Fatal
